                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     320                                     1539                  3.0000000000000000E+000                  2.0000000000000000E-002                  3.9585490146748644E+008                  7.1691820586471164E+004                  4.5876343249271185E+003                  2.6149348629943466E+002                  2.5597998630406504E+001                  1.8745166764793972E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5112381271349533E-001                  2.9235462991370982E-002                  1.2258755611363765E-002                  7.1308021635434194E-004                  2.5916666177703729E-003                  2.9981573663652239E+000                 -8.1800684144022561E-011                  1.6446731869682849E+000                  3.5609586191826171E-004                  1.2883329141675244E+000                  1.0397060172235998E-002                  1.4507235560114476E-002                  2.1331907944171918E-002                  6.3348130259067983E-003                  5.0902567116209130E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4858110613796278E+005                  3.1624441901120477E+004                  1.1465514528847772E+008                  2.5804062039034710E+002                  2.3603528766694834E+002                  2.1280039565534850E+001                  1.6091820748508567E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.2492230638550350E+016                               "r24.03.1"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20260220"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                 velocity                                       cp                                   csound                                       pp                                      cno                                tri_alpha                                  opacity                        mlt_mixing_length                                 brunt_N2                brunt_N2_composition_term                              log_brunt_N                             log_lamb_Sl1                             log_lamb_Sl2                             log_lamb_Sl3 
                                       1                  2.9981573663652239E+000                  1.4082060114935597E+000                  3.6615888755460015E+000                 -7.8797332667831004E+000                  3.5711952860879848E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662273057126606E+008                  6.8365387333981646E+005                  1.7504472579877750E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2453769193605502E-002                  4.5024460743602037E+009                  1.5085794569640484E-008                  0.0000000000000000E+000                 -3.9107159052860085E+000                 -1.0634566066763265E+000                 -8.2489597931649539E-001                 -6.7438098148450476E-001 
                                       2                  2.9981573663634253E+000                  1.4082060098342206E+000                  3.6615891336686315E+000                 -7.8797314602074708E+000                  3.5711973507522146E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662272282321391E+008                  6.8365408350054314E+005                  1.7504545403017598E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2453856359807563E-002                  4.5024468905049982E+009                  1.5085778251546960E-008                 -4.0724840680943145E-018                 -3.9107161401712767E+000                 -1.0634565625781123E+000                 -8.2489593521828120E-001                 -6.7438093738629057E-001 
                                       3                  2.9981573663595649E+000                  1.4082060062735673E+000                  3.6615894858102109E+000                 -7.8797289956241308E+000                  3.5712001674307214E+000                  6.6585201723236354E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662271225300324E+008                  6.8365437021062069E+005                  1.7504644750964668E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2453975274923474E-002                  4.5024504669472618E+009                  1.5085707740975081E-008                 -5.7269261829526515E-018                 -3.9107171551147331E+000                 -1.0634563768837650E+000                 -8.2489574952393407E-001                 -6.7438075169194345E-001 
                                       4                  2.9981573663557048E+000                  1.4082060027129371E+000                  3.6615900465026923E+000                 -7.8797250714717872E+000                  3.5712046522016685E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662269542276198E+008                  6.8365482672095334E+005                  1.7504802935652889E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2454164614628364E-002                  4.5024540434039564E+009                  1.5085637234211281E-008                 -3.8179477634271604E-018                 -3.9107181700081188E+000                 -1.0634561911890659E+000                 -8.2489556382923468E-001                 -6.7438056599724405E-001 
                                       5                  2.9981573663472720E+000                  1.4082059949349308E+000                  3.6615908157491157E+000                 -7.8797196878048474E+000                  3.5712108050137270E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662267233239454E+008                  6.8365545303440106E+005                  1.7505019956484229E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2454424377729647E-002                  4.5024618560903158E+009                  1.5085483214085752E-008                 -9.5448528873650716E-019                 -3.9107203870318696E+000                 -1.0634557855440441E+000                 -8.2489515818421311E-001                 -6.7438016035222248E-001 
                                       6                  2.9981573663388397E+000                  1.4082059871570172E+000                  3.6615919268874606E+000                 -7.8797119115550149E+000                  3.5712196922556689E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662263897960758E+008                  6.8365635771414184E+005                  1.7505333429400647E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2454799587554173E-002                  4.5024696688376474E+009                  1.5085329193194452E-008                  0.0000000000000000E+000                 -3.9107226040892789E+000                 -1.0634553798973083E+000                 -8.2489475253747713E-001                 -6.7437975470548650E-001 
                                       7                  2.9981573663229120E+000                  1.4082059724656688E+000                  3.6615939782368336E+000                 -7.8796975558943876E+000                  3.5712360989960001E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662257740497413E+008                  6.8365802790919063E+005                  1.7505912143509012E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2455492271606266E-002                  4.5024844264652338E+009                  1.5085038266333008E-008                  0.0000000000000000E+000                 -3.9107267919047151E+000                 -1.0634546136711396E+000                 -8.2489398631130850E-001                 -6.7437898847931788E-001 
                                       8                  2.9981573662938676E+000                  1.4082059456764420E+000                  3.6615985511012306E+000                 -7.8796655570219789E+000                  3.5712726701330149E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662244014449525E+008                  6.8366175111943448E+005                  1.7507202170339561E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2457036328434082E-002                  4.5025113382655334E+009                  1.5084507764102245E-008                  0.0000000000000000E+000                 -3.9107344285523218E+000                 -1.0634532164200585E+000                 -8.2489258906022755E-001                 -6.7437759122823693E-001 
                                       9                  2.9981573662226610E+000                  1.4082058800044470E+000                  3.6616064150258398E+000                 -7.8796105383979880E+000                  3.5713355516549403E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662220410107952E+008                  6.8366815394904593E+005                  1.7509420455168116E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2459691362960152E-002                  4.5025773186329489E+009                  1.5083207235315636E-008                  0.0000000000000000E+000                 -3.9107531509671927E+000                 -1.0634497908154392E+000                 -8.2488916345560803E-001                 -6.7437416562361741E-001 
                                      10                  2.9981573661214735E+000                  1.4082057866928579E+000                  3.6616148350346456E+000                 -7.8795516431091359E+000                  3.5714028658602222E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662195136849913E+008                  6.8367500961509952E+005                  1.7511795353961850E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2462533748694849E-002                  4.5026710845265198E+009                  1.5081359244505500E-008                  0.0000000000000000E+000                 -3.9107797574232475E+000                 -1.0634449226345626E+000                 -8.2488429527473150E-001                 -6.7436929744274088E-001 
                                      11                  2.9981573660380869E+000                  1.4082057098075784E+000                  3.6616274014176531E+000                 -7.8794637684391748E+000                  3.5715033052943590E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662157419578907E+008                  6.8368524142811156E+005                  1.7515339418771487E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2466775237974180E-002                  4.5027483625255013E+009                  1.5079836491732475E-008                  0.0000000000000000E+000                 -3.9108016837133381E+000                 -1.0634409107110656E+000                 -8.2488028335123442E-001                 -6.7436528551924380E-001 
                                      12                  2.9981573658460174E+000                  1.4082055327479461E+000                  3.6616515535517649E+000                 -7.8792949610174565E+000                  3.5716962617807586E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5662084931655106E+008                  6.8370490704063117E+005                  1.7522149587139163E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2474924896229497E-002                  4.5029263927941475E+009                  1.5076329480233232E-008                  0.0000000000000000E+000                 -3.9108521899928954E+000                 -1.0634316691460592E+000                 -8.2487104178622828E-001                 -6.7435604395423765E-001 
                                      13                  2.9981573655087246E+000                  1.4082052219342676E+000                  3.6616998659749966E+000                 -7.8789576103841297E+000                  3.5720819188563757E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5661939948913264E+008                  6.8374424657863833E+005                  1.7535767199614456E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2491218287244350E-002                  4.5032391293252010E+009                  1.5070172338772552E-008                  0.0000000000000000E+000                 -3.9109408905862146E+000                 -1.0634154379669045E+000                 -8.2485481060707344E-001                 -6.7433981277508281E-001 
                                      14                  2.9981573647872928E+000                  1.4082045576523052E+000                  3.6618040640439671E+000                 -7.8782314880601723E+000                  3.5729122270714910E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5661627338723612E+008                  6.8382909989758686E+005                  1.7565114022690202E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2526319561853237E-002                  4.5039084925202723E+009                  1.5057009501394516E-008                  0.0000000000000000E+000                 -3.9111306377731090E+000                 -1.0633807124608565E+000                 -8.2482008510102534E-001                 -6.7430508726903471E-001 
                                      15                  2.9981573632261433E+000                  1.4082031225630158E+000                  3.6620334879473928E+000                 -7.8766396703126969E+000                  3.5747334453367472E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5660939483270487E+008                  6.8401596619639639E+005                  1.7629620600264899E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2603417256961696E-002                  4.5053590906813459E+009                  1.5028556525585386E-008                  0.0000000000000000E+000                 -3.9115413654310376E+000                 -1.0633055271187872E+000                 -8.2474489975895615E-001                 -6.7422990192696552E-001 
                                      16                  2.9981573597653792E+000                  1.4081999528397389E+000                  3.6623548537443376E+000                 -7.8744274507555394E+000                  3.5772670065344205E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5659976667322320E+008                  6.8427780634731846E+005                  1.7719661835607182E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2710910769054016E-002                  4.5085801853814068E+009                  1.4965616009202017E-008                  0.0000000000000000E+000                 -3.9124527010927772E+000                 -1.0631386503505633E+000                 -8.2457802299073224E-001                 -6.7406302515874172E-001 
                                      17                  2.9981573562050676E+000                  1.4081967084363307E+000                  3.6627758425679930E+000                 -7.8715571898723935E+000                  3.5805582380395742E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5658718011270374E+008                  6.8462095335411304E+005                  1.7837172307772969E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2850970883475295E-002                  4.5119030878827677E+009                  1.4901064629144966E-008                  0.0000000000000000E+000                 -3.9133913508258948E+000                 -1.0629666880327240E+000                 -8.2440606067289302E-001                 -6.7389106284090239E-001 
                                      18                  2.9981573505835226E+000                  1.4081916192923030E+000                  3.6635984208933823E+000                 -7.8660357382547037E+000                  3.5869022738128429E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5656270329502356E+008                  6.8529184639628034E+005                  1.8065420401088306E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3122294888255845E-002                  4.5171804878775339E+009                  1.4799599132684511E-008                  0.0000000000000000E+000                 -3.9148750239518746E+000                 -1.0626946348639976E+000                 -8.2413400750416654E-001                 -6.7361900967217592E-001 
                                      19                  2.9981573383098157E+000                  1.4081806477564474E+000                  3.6651996281394381E+000                 -7.8556117469814755E+000                  3.5989276342282865E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5651563045969805E+008                  6.8659919111442193E+005                  1.8504324345893373E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3641554130848726E-002                  4.5288100222318335E+009                  1.4579956820906102E-008                  0.0000000000000000E+000                 -3.9181218810978415E+000                 -1.0620985255088577E+000                 -8.2353789814902678E-001                 -6.7302290031703615E-001 
                                      20                  2.9981573159400736E+000                  1.4081611235041729E+000                  3.6680657857264660E+000                 -7.8379243522895390E+000                  3.6194819044077535E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5643423388996738E+008                  6.8894279332518158E+005                  1.9273591134748434E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4545047855685266E-002                  4.5503233812817678E+009                  1.4186200853978751E-008                  0.0000000000000000E+000                 -3.9240669477633716E+000                 -1.0610055807518366E+000                 -8.2244495339200541E-001                 -6.7192995556001478E-001 
                                      21                  2.9981572768397813E+000                  1.4081283528967119E+000                  3.6717508300190014E+000                 -7.8168616540807321E+000                  3.6442312538996595E+000                  6.6585201723236342E-001                  3.1404959369778579E-001                  2.0098389069850731E-002                  0.0000000000000000E+000                  1.5633722556129301E+008                  6.9195975997544208E+005                  2.0231486487347951E-027                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5663831219931280E-002                  4.5884770302632065E+009                  1.3517126768793902E-008                  0.0000000000000000E+000                 -3.9345578066035993E+000                 -1.0590792448748980E+000                 -8.2051861751506705E-001                 -6.7000361968307642E-001 
