                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      75                                      954                  3.5000000000000000E+000                  2.0000000000000000E-002                  1.8029525847868076E+008                  2.7599761330352142E+006                  1.1310728706298276E+004                  1.9778027864107307E+002                  3.6623806570770792E+000                 -3.9808350118180877E+000                  2.6600953620943152E-001                  8.6900013673502351E-008                  7.1446985850508171E-001                  1.0133598653988772E-004                  1.2172990872575238E-002                  1.0839452732340157E-003                  2.0850244238728140E-003                  3.5000000000000000E+000                  0.0000000000000000E+000                  2.1507090299627221E+000                  2.7438138850193730E-004                  1.2788748302738164E+000                  6.5000327647224652E-003                  1.5526695306403108E-002                  2.6547168417883623E-002                  7.2975854835606938E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7494559577847846E+004                  3.9826352278103383E+005                  1.7696405445720482E+008                  1.9806833253047034E+002                  1.9806833253047037E+002                  1.3255631809896404E-033                  1.3566246338872340E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.6896856489668160E+015                               "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260323"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                 velocity                                       cp                                   csound                                       pp                                      cno                                tri_alpha                                  opacity                        mlt_mixing_length                                 brunt_N2                brunt_N2_composition_term                              log_brunt_N                             log_lamb_Sl1                             log_lamb_Sl2                             log_lamb_Sl3 
                                       1                  3.5000000000000000E+000                  5.6376348160316525E-001                  4.0548902640725428E+000                 -9.4671574510420875E+000                  2.6998466345519447E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.2644862035813034E+009                  1.3487251654409894E+006                  5.0013310095051763E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0188695994307414E+001                  3.6954546941799593E+008                  2.7455736807367326E-006                  0.0000000000000000E+000                 -2.7806834484945093E+000                  7.6073105457976048E-002                  3.1463373281780721E-001                  4.6514873064979784E-001 
                                       2                  3.4999999999985998E+000                  5.6374642726105251E-001                  4.0576771800475138E+000                 -9.4489341077937823E+000                  2.7205143687056954E+000                  6.9999999999978624E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.2177630873543918E+009                  1.3564420136758329E+006                  5.2156599814438284E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0390431358462903E+001                  3.7058115139666271E+008                  2.6583695213366267E-006                 -7.2240856773843485E-019                 -2.7876923254808323E+000                  7.7330812827639345E-002                  3.1589144018747040E-001                  4.6640643801946102E-001 
                                       3                  3.4999999999972000E+000                  5.6373007183950741E-001                  4.0603582496822774E+000                 -9.4322317732572003E+000                  2.7396427328984343E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.1747721201792157E+009                  1.3641157107965620E+006                  5.4201575850080193E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0564339796285275E+001                  3.7266840201196510E+008                  2.5055675120232609E-006                  7.7400460911146164E-019                 -2.8005469453922731E+000                  7.9850517631633894E-002                  3.1841114499146494E-001                  4.6892614282345568E-001 
                                       4                  3.4999999999958873E+000                  5.6371531554373122E-001                  4.0629303018158724E+000                 -9.4168691338825656E+000                  2.7573872775329309E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.1354092867129323E+009                  1.3716801111400258E+006                  5.6153242735094174E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0713534247822414E+001                  3.7467577799268919E+008                  2.3955698749930548E-006                  0.0000000000000000E+000                 -2.8102955784681805E+000                  8.2251496876503308E-002                  3.2081212423633443E-001                  4.7132712206832506E-001 
                                       5                  3.4999999999945746E+000                  5.6370107068279007E-001                  4.0654759261729883E+000                 -9.4022177165987575E+000                  2.7744373738224302E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.0983148815350840E+009                  1.3793267049903765E+006                  5.8079990664683579E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0845089253319678E+001                  3.7671820653504425E+008                  2.3139671559890170E-006                  0.0000000000000000E+000                 -2.8178214048170185E+000                  8.4673726205722680E-002                  3.2323435356555374E-001                  4.7374935139754437E-001 
                                       6                  3.4999999999932618E+000                  5.6368729703972031E-001                  4.0675735333539098E+000                 -9.3905020156912009E+000                  2.7881533738558684E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.0691621876353384E+009                  1.3857217949575309E+006                  5.9668135299782683E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0942218544107410E+001                  3.7877448072883362E+008                  2.2559044391040732E-006                  0.0000000000000000E+000                 -2.8233396505821102E+000                  8.7099430304450928E-002                  3.2566005766428202E-001                  4.7617505549627270E-001 
                                       7                  3.4999999999923870E+000                  5.6367835830737545E-001                  4.0692365162380302E+000                 -9.3814312370455877E+000                  2.7988234448767115E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.0469513578966839E+009                  1.3908439149357546E+006                  6.0927508982203977E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1012050321936382E+001                  3.8015234375007981E+008                  2.2290046899075299E-006                  0.0000000000000000E+000                 -2.8259445088736497E+000                  8.8712728039669439E-002                  3.2727335539950048E-001                  4.7778835323149121E-001 
                                       8                  3.4999999999915121E+000                  5.6366960380037490E-001                  4.0712953141513566E+000                 -9.3704447337266128E+000                  2.8118036619495745E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.0205515866163518E+009                  1.3972372948010566E+006                  6.2488506311645212E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1090060846251943E+001                  3.8154120511966085E+008                  2.2112376914850184E-006                  0.0000000000000000E+000                 -2.8276822857545105E+000                  9.0319723375573660E-002                  3.2888035073540478E-001                  4.7939534856739541E-001 
                                       9                  3.4999999999901994E+000                  5.6365679911862743E-001                  4.0743378359100930E+000                 -9.3546396496600472E+000                  2.8305765137769785E+000                  6.9999999999978613E-001                  2.8000000000021402E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  9.8373375853994095E+008                  1.4067627867713200E+006                  6.4804557004356274E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1189369230380384E+001                  3.8363162289987403E+008                  2.1985206021505755E-006                  0.0000000000000000E+000                 -2.8289347301441778E+000                  9.2709183900457348E-002                  3.3126981126028848E-001                  4.8178480909227916E-001 
