                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     100                                      969                  3.5000000000000000E+000                  2.0000000000000000E-002                  2.2863327268872625E+008                  6.2409534223464853E+005                  1.0191768359942223E+004                  2.2925900959976693E+002                  4.8564316191118007E+000                 -3.9724692133369710E+000                  2.0899081442255232E-002                  7.2292246447470804E-011                  9.5965933360012523E-001                  1.3400827312924366E-004                  1.2649289346421590E-002                  4.9604101265248953E-004                  2.0850244238728183E-003                  3.5000000000000000E+000                  0.0000000000000000E+000                  2.0481933255131444E+000                  3.1819317650063473E-004                  1.3813788331854731E+000                  6.5016254558948709E-003                  1.5747750777527460E-002                  2.6292410005511607E-002                  7.2975854835607007E-003                  3.8162022577632071E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7253092685103002E+004                  2.5910351636892004E+005                  1.5266575591119358E+008                  2.2831266816172925E+002                  2.2831266816172914E+002                  2.0592077251258167E-029                  1.5506279973141911E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  7.2151173662017470E+015                               "r25.12.1"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260323"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                 velocity                                       cp                                   csound                                       pp                                      cno                                tri_alpha                                  opacity                        mlt_mixing_length                                 brunt_N2                brunt_N2_composition_term                              log_brunt_N                             log_lamb_Sl1                             log_lamb_Sl2                             log_lamb_Sl3 
                                       1                  3.5000000000000000E+000                  6.8631727804010456E-001                  4.0096506808527845E+000                 -9.5887294445058604E+000                  2.5105762122736537E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.8431464085723939E+009                  1.1889506735892100E+006                  3.7801721558560119E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9671306545310312E+000                  5.5600288659384668E+008                 -7.8468315194511963E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -1.0124031465790966E-001                  1.3732031270192144E-001                  2.8783531053391209E-001 
                                       2                  3.4999999999972000E+000                  6.8629792367093734E-001                  4.0123722229524530E+000                 -9.5722537687692117E+000                  2.5306170066840794E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.7293348202389007E+009                  1.1961362272113990E+006                  3.9263364600978970E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.2615413188334053E+000                  5.5836192936139417E+008                 -8.5947173696220450E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.9868381624082306E-002                  1.3869224573574876E-001                  2.8920724356773941E-001 
                                       3                  3.4999999999945750E+000                  6.8628045218431533E-001                  4.0148009721298052E+000                 -9.5584733124671626E+000                  2.5476553332902516E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.6284559698624291E+009                  1.2027440301799027E+006                  4.0529214720388590E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5093802188033969E+000                  5.6282598973926258E+008                 -9.8425589122308140E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.7280012376041738E-002                  1.4128061498378935E-001                  2.9179561281577998E-001 
                                       4                  3.4999999999923874E+000                  6.8626634580607515E-001                  4.0170147395436286E+000                 -9.5465519487063908E+000                  2.5625871303441872E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.5375628156367178E+009                  1.2089070075153955E+006                  4.1657168396336020E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7235331841678327E+000                  5.6666534419450033E+008                 -1.0695774811609956E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.5068749102756200E-002                  1.4349187825707488E-001                  2.9400687608906551E-001 
                                       5                  3.4999999999902003E+000                  6.8625262006161969E-001                  4.0191206430168718E+000                 -9.5357129508212388E+000                  2.5763137839710439E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.4524091608486500E+009                  1.2148837540581934E+006                  4.2709936093941638E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9169916770579718E+000                  5.7058626817652571E+008                 -1.1388891175731993E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.2818003644924985E-002                  1.4574262371490612E-001                  2.9625762154689678E-001 
                                       6                  3.4999999999882312E+000                  6.8624057031030883E-001                  4.0211150025229063E+000                 -9.5258418894828640E+000                  2.5889309744677509E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.3732852303276758E+009                  1.2206375973152213E+006                  4.3691821109842038E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0091295114932674E+001                  5.7416345574224901E+008                 -1.1885204899318371E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.0765498624055321E-002                  1.4779512873577574E-001                  2.9831012656776640E-001 
                                       7                  3.4999999999862630E+000                  6.8622879037875339E-001                  4.0234375333360681E+000                 -9.5147716388174057E+000                  2.6032037137810446E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.2832345802584705E+009                  1.2274444165785606E+006                  4.4819869069741676E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0283708157232423E+001                  5.7778026382216454E+008                 -1.2266612316079051E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -8.8692237183658762E-002                  1.4986839017617232E-001                  3.0038338800816300E-001 
                                       8                  3.4999999999836380E+000                  6.8621347767460306E-001                  4.0260834021252077E+000                 -9.5026572441552588E+000                  2.6189631315825554E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.1834841521643534E+009                  1.2353304993156004E+006                  4.6087715835330083E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0489383278404580E+001                  5.8262738460683215E+008                 -1.2617023491148262E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -8.5905625700765612E-002                  1.5265500165906551E-001                  3.0316999949105611E-001 
                                       9                  3.4999999999810130E+000                  6.8619858465346839E-001                  4.0287153736459755E+000                 -9.4910602499745025E+000                  2.6341726996971375E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  2.0873931992755594E+009                  1.2433060727900504E+006                  4.7334999718094928E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0680090040048601E+001                  5.8747384514821315E+008                 -1.2807680284345967E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -8.3102600809646363E-002                  1.5545802655018470E-001                  3.0597302438217538E-001 
                                      10                  3.4999999999783884E+000                  6.8618408258656849E-001                  4.0313293476069205E+000                 -9.4799306470097680E+000                  2.6488695127885507E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.9952032387737150E+009                  1.2513514335944855E+006                  4.8563745722032366E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0855854130680799E+001                  5.9230864037704718E+008                 -1.2854121008327667E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -8.0290022734974306E-002                  1.5827060462485679E-001                  3.0878560245684739E-001 
                                      11                  3.4999999999757634E+000                  6.8616994604224424E-001                  4.0345670175649149E+000                 -9.4666123521713548E+000                  2.6665698611593456E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.8857312390315895E+009                  1.2614858375966826E+006                  5.0076124162010333E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1054664506095934E+001                  5.9712794432163489E+008                 -1.2768430939818729E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -7.7472898383342953E-002                  1.6108772897648810E-001                  3.1160272680847872E-001 
                                      12                  3.4999999999718256E+000                  6.8614937916867447E-001                  4.0377612778540461E+000                 -9.4538757741037625E+000                  2.6835801259068441E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.7831925418688824E+009                  1.2716610549625298E+006                  5.1566483338113410E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1231005230366261E+001                  6.0425050201590872E+008                 -1.2444682528711852E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -7.3257117007760733E-002                  1.6530351035207039E-001                  3.1581850818406099E-001 
                                      13                  3.4999999999692011E+000                  6.8613606263270521E-001                  4.0400760786201371E+000                 -9.4448755637229240E+000                  2.6956455259636725E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.7124473003335040E+009                  1.2791493074619505E+006                  5.2646304271098271E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1346231061279662E+001                  6.0891292155810308E+008                 -1.2119504259574956E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -7.0458872243171530E-002                  1.6810175511665953E-001                  3.1861675294865016E-001 
                                      14                  3.4999999999670135E+000                  6.8612519221855139E-001                  4.0421581979994725E+000                 -9.4369221246234787E+000                  2.7063316393254571E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.6514786862341402E+009                  1.2859667790297733E+006                  5.3619341363363040E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1440954298730505E+001                  6.1275844395225978E+008                 -1.1785283197082948E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -6.8135037510690485E-002                  1.7042558984914064E-001                  3.2094058768113121E-001 
                                      15                  3.4999999999648264E+000                  6.8611451827337111E-001                  4.0452429342581944E+000                 -9.4253753407209420E+000                  2.7218849120106534E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.5657169376158283E+009                  1.2962052595459579E+006                  5.5064090951613722E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1565440577118897E+001                  6.1657094099341607E+008                 -1.1398634986214313E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -6.5820595468361096E-002                  1.7274003189146997E-001                  3.2325502972346054E-001 
                                      16                  3.4999999999604516E+000                  6.8609372823094839E-001                  4.0492623251119237E+000                 -9.4105977055546646E+000                  2.7417960754698014E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.4620470720354209E+009                  1.3097511435297097E+006                  5.6970022161628333E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1701686025405557E+001                  6.2402581219779003E+008                 -1.0520847243509149E-006                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -6.1243451967005189E-002                  1.7731717539282590E-001                  3.2783217322481656E-001 
                                      17                  3.4999999999560760E+000                  6.8607363086819584E-001                  4.0522031444091047E+000                 -9.3999322227033648E+000                  2.7561549866144315E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.3917932976117830E+009                  1.3197951615210918E+006                  5.8386450760482421E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1783255228390088E+001                  6.3119520753215730E+008                 -9.5599907994993451E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -5.6757074295042925E-002                  1.8180355306478815E-001                  3.3231855089677875E-001 
                                      18                  3.4999999999538889E+000                  6.8606382494588625E-001                  4.0550974180616119E+000                 -9.3896252433069858E+000                  2.7700555447925685E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.3270087893211491E+009                  1.3298056767451866E+006                  5.9788719931895871E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1846895197329786E+001                  6.3470498837285733E+008                 -9.0475827824192771E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -5.4547525858199296E-002                  1.8401310150163180E-001                  3.3452809933362249E-001 
                                      19                  3.4999999999495137E+000                  6.8604467114784917E-001                  4.0588515495227879E+000                 -9.3763413108072822E+000                  2.7879265792701133E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.2493649923188653E+009                  1.3429306848689073E+006                  6.1645793798405721E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1909535997174142E+001                  6.4156644779154491E+008                 -7.9833750540860260E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -5.0205418580669028E-002                  1.8835520877916209E-001                  3.3887020661115275E-001 
                                      20                  3.4999999999451390E+000                  6.8602609192384756E-001                  4.0615882716267979E+000                 -9.3666961225372916E+000                  2.8008654067119476E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.1971453768886359E+009                  1.3525946064277599E+006                  6.3030220998771429E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1941856076618926E+001                  6.4814416196889567E+008                 -6.9131343329485204E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -4.5980853516445187E-002                  1.9257977384338590E-001                  3.4309477167537661E-001 
                                      21                  3.4999999999429514E+000                  6.8601700548128641E-001                  4.0642782515038771E+000                 -9.3573377040991730E+000                  2.8134309136131632E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.1491942333898969E+009                  1.3621837089965723E+006                  6.4403198561376811E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1960821843835012E+001                  6.5135757404249096E+008                 -6.3727914195578420E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -4.3911141056169972E-002                  1.9464948630366113E-001                  3.4516448413565182E-001 
                                      22                  3.4999999999385767E+000                  6.8599921835563593E-001                  4.0677593737086148E+000                 -9.3452196197036930E+000                  2.8296412458575309E+000                  6.9999999999978613E-001                  2.8000000000021408E-001                  1.9999999999999796E-002                  0.0000000000000000E+000                  1.0920111473473673E+009                  1.3746451122542073E+006                  6.6225579724780356E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1971487140316796E+001                  6.5763266273142362E+008                 -5.2971828099935733E-007                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -3.9868453193694586E-002                  1.9869217416613652E-001                  3.4920717199812717E-001 
