                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.1"                                 "CRMATH"                               "20260128"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      502                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  5.2567874758293429E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  5.2567874758293429E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190755789475185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190755789475185E+001                 -1.5190755789475185E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7030644625352624E+000                  4.0922470093817447E+000                  2.1626477404848456E+000                  1.2888634053891233E+000                  0.0000000000000000E+000                  9.7622928777042191E+000                 -4.2735188786891003E+000                  5.8562638422662454E+000                  6.2169519168950882E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861544E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                       5                                      508                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8021296955158846E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8021296955158846E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190755548131772E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190755548131772E+001                 -1.5190755548131772E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031693689471044E+000                  4.0926686313583964E+000                  2.1626487386494873E+000                  1.2888614090598394E+000                  0.0000000000000000E+000                  9.7622929432511203E+000                 -4.2735188279862921E+000                  5.8562638576291608E+000                  6.2169519166057274E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861544E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      10                                      506                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8024416309410206E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8024416309410206E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190754795814254E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190754795814254E+001                 -1.5190754795814254E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031544592066306E+000                  4.0926082037377123E+000                  2.1626483443200928E+000                  1.2888621977186288E+000                  0.0000000000000000E+000                  9.7622931438475131E+000                 -4.2735186743758726E+000                  5.8562639056644290E+000                  6.2169519156916309E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861544E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      15                                      508                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8032693932794086E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8032693932794086E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190752929158535E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190752929158535E+001                 -1.5190752929158535E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031467321005374E+000                  4.0925764238303479E+000                  2.1626479085785961E+000                  1.2888630692016219E+000                  0.0000000000000000E+000                  9.7622936418456998E+000                 -4.2735182928862949E+000                  5.8562640248257827E+000                  6.2169519134248463E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861531E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      20                                      506                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8056883093030321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8056883093030321E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190748285240643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190748285240643E+001                 -1.5190748285240643E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031426226710331E+000                  4.0925586994846848E+000                  2.1626472652647730E+000                  1.2888643558292683E+000                  0.0000000000000000E+000                  9.7622948801983398E+000                 -4.2735173441516148E+000                  5.8562643210745895E+000                  6.2169519077899438E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861531E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      25                                      508                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8141479637459690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8141479637459690E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190736718825585E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190736718825585E+001                 -1.5190736718825585E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031405317440544E+000                  4.0925480914760417E+000                  2.1626461431144084E+000                  1.2888666001299969E+000                  0.0000000000000000E+000                  9.7622979597086843E+000                 -4.2735149846279672E+000                  5.8562650576300346E+000                  6.2169518937814072E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861522E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      30                                      506                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8488035487922701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.8488035487922701E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190707893311394E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190707893311394E+001                 -1.5190707893311394E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031399872493544E+000                  4.0925414986960034E+000                  2.1626439357137892E+000                  1.2888710149312357E+000                  0.0000000000000000E+000                  9.7623056165159756E+000                 -4.2735091172547390E+000                  5.8562668885091798E+000                  6.2169518589643136E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861522E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      35                                      508                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.9608237249660861E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  4.9608237249660861E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190636063085194E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190636063085194E+001                 -1.5190636063085194E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031404644619497E+000                  4.0925335501010824E+000                  2.1626390069911392E+000                  1.2888808723765357E+000                  0.0000000000000000E+000                  9.7623246545060542E+000                 -4.2734945267960844E+000                  5.8562714396922164E+000                  6.2169517724273549E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861509E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
                                      40                                      506                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999824139298310E-001                  5.1089999348752385E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999824139298310E-001                  5.1089999348752385E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5190457151756549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.5190457151756549E+001                 -1.5190457151756549E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7031417149786550E+000                  4.0925147284199852E+000                  2.1626270951171800E+000                  1.2889046961244541E+000                  0.0000000000000000E+000                  9.7623720015541871E+000                 -4.2734582376946335E+000                  5.8562827564417379E+000                  6.2169515572712708E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4468833607861397E-003                  9.3805276451495445E-003                  3.4468833607861509E-003                  9.3805276451495445E-003                  1.0500000000000004E+001                  4.1995530354712312E+000                                        0                                        2 
